# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_geoh_01 order by site_no, geoh_seq_nu' |# 02/19/2019 21:01:04, llorzol
#
agency_cd	site_no	geoh_seq_nu	lith_cd	lith_top_va	lith_bottom_va	lith_unit_cd	lith_ds	contrib_unit_cd	geoh_web_cd	geoh_cn	geoh_cr	geoh_mn	geoh_md
USGS	421716123360701	1	GRCL	    4.00	   80.00	110ALVM	GRAVEL CLAYEY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421755122541501	1	SNDS	    0.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	11-DEC-1989 00:00:00
USGS	421756122541401	1	CLAY	    0.00	   17.00	110ALVM	WITH SMALL GRVEL	N	Y	nwis	04-NOV-1998 00:00:00	nwis	11-DEC-1989 00:00:00
USGS	421756122541401	2	SNDS	   17.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	11-DEC-1989 00:00:00
USGS	421756123155001	1	GRNT	   31.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421757122535701	1	CLAY	    0.00	   30.00	110ALVF		N	Y	nwis	04-NOV-1998 00:00:00	nwis	11-DEC-1989 00:00:00
USGS	421757122535701	2	SNDS	   30.00		211HRBK	BLUE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	11-DEC-1989 00:00:00
USGS	421757123134001	1	GRNT	  217.00		217GRDR		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421759123134101	1	GRCL	    0.00	   30.00	110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	421759123134101	2	SNDS	   30.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	12-DEC-1989 00:00:00
USGS	421809123152001	1	GRVL	    0.00	  173.00	110ALVM	SDY, CLAYEY		Y	nwis	04-NOV-1998 00:00:00	nwis	25-AUG-1989 00:00:00
USGS	421809123152001	2	GRNT	  237.00		217GCIVJ	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421810123314201	1	SDMN	   81.00		221GLIC	METAMORPHOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421814122551501	1	CLSN	   52.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421820123165001	1	GRNT	   75.00		217GCIVJ		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421828122534201	1	CLSN	    0.00	   20.00	211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421838122534001	1	CLAY	    0.00	   67.00	110ALVM		U	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421838122534001	2	CLSN	   67.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421841123171801	1	GRNT	   52.00		217GCIVJ	GRNTIC	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421853122551301	1	GRCL	    0.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421918123130401	1	GRNT	   85.00	  240.00	217GRDR	HARD, GREY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421920121400001	1	GRVL	  135.00		121PLCN		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421921123140201	1	GRNT	   24.00		217GCIVJ	GRAY WTHRD FRCTD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421929122555501	1	GRCL	    0.00		110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421929122555501	2	SHLE	   70.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421929123200701	1		   52.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421935123183001	1	MMPC	   59.00		231APLG	METAVOLC	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421939122475801	1	CLSN	    0.00		124NMSM	AND SANDSTONE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421939122550801	1	CLAY	    0.00	   68.00	110ALVF		N	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	421939122550801	2	CLSN	   68.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	421939123173501	1	GRVL	    0.00		110ALVM	CLEAN	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421949122580601	1	BSLT	    0.00		217GRDR		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	421958123195501	1		  112.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	421959123195401	1		  109.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422008123203301	1	MMPC	   15.00		231APLG	METAVOLC	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422013123200001	1	GRVL	    0.00		110ALVM	GVLY CL, SDY GVL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422019123170901	1	MMPC	    4.00		231APLG	METAVOLC	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422023123285701	1	VLCC	   50.00		231APLG	MSSVE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422032123182001	1	GRVL	    0.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422033122562201	1	CLAY	    0.00	   36.00	110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	422033122562201	2	SHLE	   36.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	422033122563001	1	SNDS	   26.00		211HRBK	AND CLAYSTONE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	422034123182101	1	GRVL	    0.00		110ALVM	W/CLAY, BLDRS	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422048122572201	1	GRNT	    0.00		217GRDR		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422105123173101	1	MMPC	    0.00		231APLG	METAVDLC	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422105123234201	1	ALVM	    0.00		110ALVM	LG BLDRS	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422116123241401	1	DORT	   22.00		217GCIVJ	MSSVE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422117123333501	1	SDMN	   37.00		221GLIC	METAMORPHOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422118123211601	1	DORT	    2.00		217GCIVJ	DCMPSD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422118123245001	1	ALVM	    0.00		110ALVM	CGL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422120123271101	1	SHLE	  100.00		221GLIC	FRCTRD.-HARD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422127123211901	1	DORT	    1.00		217GCIVJ	MSSVE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422127123254601	1	ALVM	    8.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422129123264601	1	GRVL	  168.00		110ALVM	SNDY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422129123294601	1	SHLE	   60.00		221GLIC	BLUE FRCTRED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422130122554901	1				200SDMR		U	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422134123222801	1	ALVM	    2.00		110ALVM	POROUS-PBBLS-CBL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422137123200701	1	MMPC	   25.00		231APLG	GNSS, SCST	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422139123223001	1	DORT	    2.00		217GCIVJ	FRCTRD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422143123260001	1	SLTE	   69.00		221GLIC	FRACTURED SLATE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422148123310901	1	SDMN	   15.00		221GLIC	METAMORPHOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422149123270101	1	SLTE	    9.00		221GLIC	FRACTURED SLATE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422151122554101	1	CLSN	   36.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	422152122562801	1	CLAY	    0.00	   55.00	110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422152122562801	2	CLSN	   55.00		211HRBK		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422155123195301	1		    0.00	   97.00	217GCIVJ		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422157123222001	1	DORT	    1.00		217GCIVJ	FRCTRD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422159123193101	1	MMPC	   50.00		231APLG	METAVOLC	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422201123225401	1	DORT	   10.00		217GCIVJ	MSSVE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422205123211001	1	DORT	   17.00		217GCIVJ	MSSVE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422206123200801	1	DORT	   28.00		217GCIVJ	FRCTRD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422207123260201	1	SDGL	   86.00		110ALVM	MINOR SAND	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422209123332301	1	SDMN	   20.00		221GLIC	METAMORPHOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422215123190601	1	DORT	   16.00		217GCIVJ		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422220123220301	1	DORT	    2.00		217GCIVJ	WTHRD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422226123265001	1	GRVL	   60.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422230123213701	1	DORT	    1.00		217GCIVJ	DCMPSD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422235123190301	1	MMPC	   12.00		231APLG	METAVOLCANICS	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422243123212001	1	GRNT	  132.00		217GRDR	DECOMPOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422249123274701	1	SDGL	   80.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422256123260601	1	GRNT			217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422302123244801	1	GRNT	   34.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422303123195301	1	DORT	   28.00		217GCIVJ	JNTD, FRCTD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422305123290301	1	SDMN	   18.00	  140.00	221GLIC	META SDST AND SH	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422307123241801	1		   94.00		217GRDR		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422311123234901	1		    0.00		217GRDR		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422314123082601	1	GRNT	   22.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422314123274801	1	SLTE	    9.00		221GLIC	FRACTURED SLATE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422316123180601	1	MMPC	   24.00		231APLG	METAVOLCANICS	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422319122280901	1	BSLT	    0.00		121VPSM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422320123081901	1	GRVL	    0.00		110ALVM	SANDY	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422327122344401	1	VLCC	    0.00		123ROXY		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422330123081401	1	BLDR	    0.00		110ALVM	AND GRAVEL	P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	422337123254901	1	DORT	   47.00		217GCIVJ	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422337123454601	1	DORT	    9.00		217GCIVJ	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422340123245102	1	DORT	    1.00		217GCIVJ	MSSVE	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422343123232901	1	DORT	   10.00		217GCIVJ	DECOMP	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422347123245001	1	DORT	    9.00		217GCIVJ	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422349122533501	1	GRVL	    0.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422351123232001	1	DORT	   20.00		217GCIVJ	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422356123180601	1	VLCC	    8.00		231APLG	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422356123180602	2	VLCC	   20.00		231APLG	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422356123190601	1	DORT	    1.00		217GCIVJ	FRCTRD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422359123205901	1	DORT	    1.00		217GCIVJ	DCMPSD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422406123221401	1	DORT	   14.00		217GCIVJ	DECOMPOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422406123221402	1	DORT	    1.00		217GCIVJ	FRCTRD	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422415122532401	1	SDGL	    0.00		110ALVMO		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422418123070101	1	SDGL	    0.00		110ALVM	WASHED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422424122571201	1	CGLM	    0.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422424123233301	1	GRNT	   34.00		217GRDR	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422425123223301	1	DORT	    1.00		217GCIVJ	FRACTERED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422426123020601	1	GRNT	    0.00		110ALVM	DECOMPOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	19-DEC-1989 00:00:00
USGS	422427123232001	1	DORT	   18.00		217GCIVJ	DECOMPOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422431123222201	1	DORT	   55.00		217GCIVJ	DECOMPOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422432123240301	1	DORT	   35.00		217GCIVJ	FRACTURED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422433123020501	1	GRCL	    0.00	   12.00	110ALVM		N	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422433123020501	2	GRNT	   12.00		231APLG		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
USGS	422434123030501	1	DORT	   15.00		217GCIVJ	DECOMPOSED	P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	422435122545001	1	GRCL	    0.00		110ALVM		P	Y	nwis	04-NOV-1998 00:00:00	nwis	08-DEC-1989 00:00:00
